Name,RMS,ZCR,Silence Ratio,Bandwidth,Centroid,Mfcc1,Mfcc2,Mfcc3,Mfcc4,Mfcc5,Mfcc6,Mfcc7,Mfcc8,Mfcc9,Mfcc10,Mfcc11,Mfcc12
./Audio/VIE_04.wav,0.021883046,0.237120773,0.163417502,2594.870265401,3574.237694926,-438.87683,22.465073,-31.841232,-0.24633287,-24.20487,-10.993609,-10.007056,-12.132753,-10.321456,-14.301918,-10.228576,-6.6569805
./Audio/VIE_05.wav,0.005024674,0.243407556,0.17548336,2887.369350396,3845.123053373,-617.45166,26.751875,-4.774014,-1.9728945,-2.7092671,-31.602024,-15.238766,-9.030592,-19.424864,-1.1481178,-14.831738,-8.858804
./Audio/VIE_06.wav,0.010969039,0.178998467,0.114993472,2152.542309775,2695.618722187,-492.86877,60.731815,-49.474113,19.31724,-8.79401,-19.562311,-16.569475,-14.116362,-10.962206,3.012029,-13.725377,-5.86131
./Audio/VIE_07.wav,0.017732391,0.221899867,0.170188681,2588.486847702,3408.731423066,-430.8855,33.909405,-24.24183,6.418352,-26.675505,-14.046083,-19.460918,-9.075876,-9.757779,-10.324812,-10.404947,-2.2307427
./Audio/VIE_08.wav,0.022139015,0.265270122,0.197584238,2761.132595257,3745.234144041,-487.28024,27.35449,-29.723688,26.40704,9.17135,-46.204544,14.23987,-13.364978,6.8224826,10.512698,-22.462143,-0.6633937
./Audio/VIE_09.wav,0.015184957,0.284907576,0.169838984,2504.070698641,3834.140523177,-507.59863,5.782261,-41.537384,20.577074,5.17169,-12.677665,4.1286783,0.15462868,8.326489,1.497909,-2.2106206,8.664852
./Audio/VIE_10.wav,0.032336976,0.371780193,0.176560946,3064.679812557,5025.376080041,-429.15195,-11.71244,8.747604,3.612355,5.9896317,-1.2152234,-11.34036,-9.069091,-17.848724,-6.145243,-13.490645,-6.243602
./Audio/VIE_11.wav,0.017051572,0.203125,0.157602163,2381.170530585,3062.220864929,-510.8185,44.676636,-30.665451,2.5076828,-22.009497,-20.866753,-3.5962963,-7.0744767,-11.44461,3.9973269,-17.727001,-5.2354875
./Audio/VIE_12.wav,0.044935368,0.271277147,0.137848143,2611.776148541,3907.906925284,-388.36148,-21.166176,-65.94524,-14.908543,-12.278393,-31.620647,-14.532487,-20.233318,-22.74132,-9.670063,-19.657001,-4.7861753
./Audio/VIE_13.wav,0.003397504,0.213413876,0.1266915,2580.674607705,3181.489040931,-622.28784,57.151836,-36.29031,9.549415,9.322553,-20.663443,0.87694114,-27.97257,-8.191552,-14.525915,-17.748913,-7.3834133
./Audio/VIE_14.wav,0.032552518,0.313865115,0.168722542,3062.786910866,4466.899147478,-409.16055,19.378239,2.527349,-3.4350767,15.959038,-10.1875725,-24.26062,-3.7253366,-16.888693,-0.21520944,-15.307951,1.7618015
./Audio/VIE_15.wav,0.009706697,0.215447302,0.177146365,2537.039202352,3481.568706143,-600.4071,18.28274,-4.970945,5.8482547,-8.975952,-11.47894,-4.1763806,-19.625916,-13.189836,-13.320041,-14.914846,-0.9341681
./Audio/VIE_16.wav,0.013393307,0.264280608,0.211395992,2997.408346965,4124.022804952,-581.37537,15.248393,-1.3051975,-13.340129,-11.935131,-21.683601,2.842241,-26.184366,-14.2941475,-8.425219,-19.682192,-5.186297
./Audio/VIE_17.wav,0.002934776,0.335831296,0.151690981,3129.439744975,4719.633581081,-587.8393,1.5419785,6.7569513,10.476222,-4.783347,-10.430806,-10.686607,-8.0189085,-6.161709,-6.225714,-7.4022374,-1.6727717
./Audio/VIE_18.wav,0.002108508,0.251196742,0.141852827,2875.063389993,3902.056686083,-629.3319,22.479048,-3.828494,14.5578985,0.6759532,-13.471844,-14.169545,9.940412,-13.324685,-1.8716073,-7.248027,-4.564396
./Audio/VIE_19.wav,0.001779452,0.221454327,0.107111033,2892.439626315,3735.763829944,-673.781,26.503363,-2.2233622,19.066833,26.325203,8.083773,-14.584982,15.161987,-11.173583,5.074216,-14.767593,-11.084421
./Audio/VIE_20.wav,0.013385864,0.298328187,0.142458969,2640.944799629,4008.319684207,-491.325,4.788862,-16.15586,12.253841,-22.237888,-13.98701,-14.645313,-14.558333,-12.911678,-1.8982915,-12.115478,-7.2063355
./Audio/VIE_21.wav,0.017977443,0.283410353,0.148784607,2703.40562066,4041.336676229,-459.9727,0.5578071,-31.522177,-6.106272,-19.02717,-22.337626,-21.574594,-5.023278,-20.220076,-9.26333,-15.401511,-9.884101
./Audio/VIE_22.wav,0.008048509,0.127937459,0.119555081,1457.014266902,1820.12677415,-582.8833,125.426765,-64.02735,36.184895,-21.858551,-17.560293,-7.4686365,-1.6712439,1.4309099,-9.843121,4.3444324,-7.816444
./Audio/VIE_23.wav,0.027068783,0.216644044,0.167543932,2371.867853505,3288.208914525,-432.25424,15.070968,-56.982426,-3.914233,-26.852577,-14.899556,-9.716687,-16.843058,-25.122751,-1.0774999,-17.626303,-5.537426
./Audio/VIE_24.wav,0.013421308,0.248756631,0.128408903,2738.083726389,3670.506306007,-482.83514,34.171844,-7.510569,35.220634,10.073808,0.53158754,-12.271022,3.5466301,-20.86653,14.355349,-21.887585,8.267218
./Audio/VIE_25.wav,0.05551954,0.226212803,0.171678133,2515.685347721,3376.660967139,-379.68625,23.074762,-48.016365,-8.958382,-26.737204,-27.023163,-11.907728,-25.522936,-13.534732,-0.27769983,-22.28295,3.3901477
./Audio/VIE_26.wav,0.029360278,0.258429004,0.173934329,2581.575387691,3681.880884829,-428.04327,0.45096004,-82.617615,-21.905258,-18.121592,-63.162914,-5.9109516,-25.863297,-19.342997,-5.291566,-18.78552,3.4657278
./Audio/VIE_27.wav,0.06490809,0.146546543,0.136438992,2042.596757227,2391.832620894,-374.59305,59.192074,-45.23034,-9.640915,-42.146435,-28.622852,-26.796797,-14.038039,-11.096908,-7.4280567,-11.344903,-11.202252
./Audio/VIE_28.wav,0.023135217,0.23386211,0.211649847,2638.094092516,3670.06900332,-446.83017,12.331869,-32.44272,19.817776,-17.707869,-28.52053,-11.057625,-22.701778,-7.800824,-22.62658,-8.074821,-9.54719
./Audio/VIE_29.wav,0.012923594,0.194478407,0.163580695,1886.545815425,2761.947249762,-588.20984,44.38853,-50.31302,-9.227083,-41.690838,-26.152525,-12.823995,-12.98966,-15.8431,-1.9122295,-13.728573,-0.387304
./Audio/VIE_30.wav,0.009292585,0.372956213,0.152481039,3050.477639947,5009.501709669,-525.16595,-5.7501516,10.748921,-0.4611248,-15.655586,-17.001678,-2.8216465,-25.347252,-19.094772,2.211323,-18.412165,1.0077503
./Audio/VIE_31.wav,0.018423576,0.260371767,0.153556034,3107.769736017,4056.172288422,-477.98618,38.763126,13.275723,-3.7264194,-0.8905181,-36.60911,-3.448046,-0.6235267,-14.441214,2.0993166,-9.784362,-1.5467286
./Audio/VIE_32.wav,0.029071387,0.190680952,0.135731826,2409.179459753,3012.628670745,-428.4748,53.679512,-41.10255,-18.065506,-22.496946,-23.460728,-12.73554,-19.710016,-4.473301,-4.792631,-6.27062,-3.429472
./Audio/VIE_33.wav,0.007967485,0.206033965,0.160544803,1878.376051654,2836.200855039,-560.7194,47.29198,-63.08633,34.134373,-21.750648,-24.948854,-11.34923,-8.007541,-11.28397,-8.367868,-16.429066,4.1291776
./Audio/VIE_34.wav,0.012222619,0.175434143,0.12441199,2706.074935414,2976.314995572,-534.90424,64.439674,-8.904259,7.243135,-2.6747613,-14.996086,5.677967,-6.5180197,-17.618364,4.1138678,-23.256006,6.558538
./Audio/VIE_35.wav,0.019806456,0.178444131,0.14998653,2617.254878689,3078.162743908,-466.11502,43.1201,-20.37298,-2.3077438,-18.802042,-29.20673,-8.329432,-13.033167,-16.054073,-7.076411,-21.77493,-9.749885
